Keyword,SERP features,Volume,KD,CPC,legalbet.ro/: URL,legalbet.ro/: Organic Position,legalbet.ro/: Organic Traffic,legalbet.ro/: Ad title,legalbet.ro/: Ad display URL,legalbet.ro/: Ad description,legalbet.ro/: Ad block,legalbet.ro/: Ad position,legalbet.ro/: Paid traffic,pariurix.com/: URL,pariurix.com/: Organic Position,pariurix.com/: Organic Traffic,pariurix.com/: Ad title,pariurix.com/: Ad display URL,pariurix.com/: Ad description,pariurix.com/: Ad block,pariurix.com/: Ad position,pariurix.com/: Paid traffic,beturi.ro/: URL,beturi.ro/: Organic Position,beturi.ro/: Organic Traffic,beturi.ro/: Ad title,beturi.ro/: Ad display URL,beturi.ro/: Ad description,beturi.ro/: Ad block,beturi.ro/: Ad position,beturi.ro/: Paid traffic,pontul-zilei.com/: URL,pontul-zilei.com/: Organic Position,pontul-zilei.com/: Organic Traffic,pontul-zilei.com/: Ad title,pontul-zilei.com/: Ad display URL,pontul-zilei.com/: Ad description,pontul-zilei.com/: Ad block,pontul-zilei.com/: Ad position,pontul-zilei.com/: Paid traffic,10pariuri.ro/: URL,10pariuri.ro/: Organic Position,10pariuri.ro/: Organic Traffic,10pariuri.ro/: Ad title,10pariuri.ro/: Ad display URL,10pariuri.ro/: Ad description,10pariuri.ro/: Ad block,10pariuri.ro/: Ad position,10pariuri.ro/: Paid traffic,biletu-zilei.com/: URL,biletu-zilei.com/: Organic Position,biletu-zilei.com/: Organic Traffic,biletu-zilei.com/: Ad title,biletu-zilei.com/: Ad display URL,biletu-zilei.com/: Ad description,biletu-zilei.com/: Ad block,biletu-zilei.com/: Ad position,biletu-zilei.com/: Paid traffic,supercazino.ro/: URL,supercazino.ro/: Organic Position,supercazino.ro/: Organic Traffic,supercazino.ro/: Ad title,supercazino.ro/: Ad display URL,supercazino.ro/: Ad description,supercazino.ro/: Ad block,supercazino.ro/: Ad position,supercazino.ro/: Paid traffic,jucatorul.ro/: URL,jucatorul.ro/: Organic Position,jucatorul.ro/: Organic Traffic,jucatorul.ro/: Ad title,jucatorul.ro/: Ad display URL,jucatorul.ro/: Ad description,jucatorul.ro/: Ad block,jucatorul.ro/: Ad position,jucatorul.ro/: Paid traffic,xbets.ro/: URL,xbets.ro/: Organic Position,xbets.ro/: Organic Traffic,xbets.ro/: Ad title,xbets.ro/: Ad display URL,xbets.ro/: Ad description,xbets.ro/: Ad block,xbets.ro/: Ad position,xbets.ro/: Paid traffic,pariuri1x2.ro/: URL,pariuri1x2.ro/: Organic Position,pariuri1x2.ro/: Organic Traffic,pariuri1x2.ro/: Ad title,pariuri1x2.ro/: Ad display URL,pariuri1x2.ro/: Ad description,pariuri1x2.ro/: Ad block,pariuri1x2.ro/: Ad position,pariuri1x2.ro/: Paid traffic,casepariurionline.ro/: URL,casepariurionline.ro/: Organic Position,casepariurionline.ro/: Organic Traffic,casepariurionline.ro/: Ad title,casepariurionline.ro/: Ad display URL,casepariurionline.ro/: Ad description,casepariurionline.ro/: Ad block,casepariurionline.ro/: Ad position,casepariurionline.ro/: Paid traffic,case-pariuri.ro/: URL,case-pariuri.ro/: Organic Position,case-pariuri.ro/: Organic Traffic,case-pariuri.ro/: Ad title,case-pariuri.ro/: Ad display URL,case-pariuri.ro/: Ad description,case-pariuri.ro/: Ad block,case-pariuri.ro/: Ad position,case-pariuri.ro/: Paid traffic,Updated
mozzart bet bonus,Sitelinks,200,35,1.94,,,,,,,,,,,,,,,,,,,https://beturi.ro/oferte-cazino/mozzart-bet-bonus-fara-depunere/,2,29,,,,,,,https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/mozzartbet-bonus-fara-depunere/,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://jucatorul.ro/cazino/recenzii/mozzart-casino/cod-bonus/,3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-20 18:38:08
fotbalisti romani celebri,"AI Overview, Thumbnail, Image pack, Video preview",200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xbets.ro/blog/top-10-fotbalisti-romani-din-toate-timpurile/,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18 01:59:27
cod superbet bonus,Sitelinks,200,55,4.39,,,,,,,,,,https://pariurix.com/agentii/recenzii/superbet/promotii,2,26,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/superbet-bonus-fara-depunere/,10,4,,,,,,,,,,,,,,,,,,,,,,,,,https://www.supercazino.ro/blog/cod-bonus-superbet/,8,7,,,,,,,https://jucatorul.ro/cazino/recenzii/superbet/cod-bonus/,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24 00:17:17
excelbet ro,Sitelinks,200,15,1.04,,,,,,,,,,https://pariurix.com/agentii/recenzii/excelbet,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pariuri1x2.ro/case-de-pariuri/excelbet/,5,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-24 11:26:57
ungaria putto strategie,,200,0,,,,,,,,,,,https://pariurix.com/casino/loto/ungaria-putto.html,3,21,,,,,,,https://beturi.ro/ghid-pariuri/ungaria-putto/,7,9,,,,,,,,,,,,,,,,https://10pariuri.ro/loto/ungaria-putto/,5,14,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-ungaria-putto-8-20/,1,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-04 04:17:12
italia win for life 10/20 resultados,AI Overview,200,3,,,,,,,,,,,https://pariurix.com/casino/loto/win-for-life.html,11,5,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/articole-utile-pariuri/win-for-life-vezi-aici-cum-iti-poti-dubla-banii/,10,6,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-italia-win-for-life-10-20/,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15 01:53:22
franta keno 20 70,,200,10,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/loto/loto-franta-keno-20-70/,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-22 08:43:47
pennsylvania 5/30 rezultate,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/loto/loto-pennsylvania/,7,8,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-sua-pennsylvania-treasure-hunt-5-30/,5,13,,,,,,,https://www.supercazino.ro/loto-pennsylvania/,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-06 10:47:10
numerone,,200,0,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/articole-utile-pariuri/win-for-life-vezi-aici-cum-iti-poti-dubla-banii/,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-28 05:52:28
cashpot bonus fara depunere 200 rotiri,,200,59,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/rotiri-gratuite-cazino/cashpot-rotiri-gratuite/,10,5,,,,,,,,,,,,,,,,https://jucatorul.ro/cazino/recenzii/cashpot-casino/bonus-fara-depunere/,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-03 01:57:23
păcănele fără bani,Sitelinks,200,77,0.42,,,,,,,,,,https://pariurix.com/pacanele,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-29 22:36:16
gets bet contact,,200,59,0.47,,,,,,,,,,,,,,,,,,,https://beturi.ro/ghid-pariuri/gets-bet-contact/,6,10,,,,,,,https://www.pontul-zilei.com/blog/gets-bet-contact/,10,4,,,,,,,,,,,,,,,,https://biletu-zilei.com/metode-contact-cazino/gets-bet-contact/,4,16,,,,,,,,,,,,,,,,https://jucatorul.ro/cazino/recenzii/getsbet-casino/contact/,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-21 18:07:32
tomanap,"AI Overview, Thumbnail, Image pack, Video preview",200,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://jucatorul.ro/blog/tomapan/,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-28 11:35:28
bonus maxbet,Sitelinks,200,57,2.77,,,,,,,,,,https://pariurix.com/agentii/recenzii/maxbet/promotii,6,14,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/maxbet-bonus-fara-depunere/,10,6,,,,,,,,,,,,,,,,https://biletu-zilei.com/coduri-bonus/cod-bonus-la-maxbet/,8,9,,,,,,,,,,,,,,,,https://jucatorul.ro/cazino/recenzii/maxbet-casino/cod-bonus/,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-06 00:03:13
fortuna timisoara,"Local pack, Sitelinks",200,0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/articole-utile-pariuri/agentii-fortuna-program-locatii/,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-19 10:16:53
superbet bingo,Video preview,200,57,1.59,,,,,,,,,,https://pariurix.com/casino/bingo/superbet-bingo.html,10,5,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/blog/superbet-bingo/,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-21 10:26:08
superbet non stop,,200,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/articole-utile-pariuri/program-agentii-superbet/,9,6,,,,,,,,,,,,,,,,https://www.supercazino.ro/blog/agentii-superbet/,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-19 23:29:01
superbet wikipedia,,200,47,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/blog/cine-detine-superbet/,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-24 15:16:54
rezultate total bet,Sitelinks,200,54,0.79,,,,,,,,,,https://pariurix.com/agentii/stradale/verificare-bilet-total-bet.html,2,28,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/articole-utile-pariuri/verificare-bilet-total-bet/,5,14,,,,,,,https://biletu-zilei.com/blog-pariuri-cazino/total-bet-verificare-bilet/,3,22,,,,,,,https://www.supercazino.ro/blog/totalbet-verificare-bilet/,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-07 21:17:01
fortuna pariuri oferta,"AI Overview, Thumbnail",200,26,0.01,,,,,,,,,,https://pariurix.com/agentii/recenzii/fortuna,2,41,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/agentie/fortuna/,4,2,,,,,,,,,,,,,,,,,,,,,,,,,https://www.supercazino.ro/blog/fortuna-pariuri-sport/,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-09 17:48:17
canada bucko 5/41,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/loto/canada-atlantic-bucko-5-41/,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-21 18:35:42
rezultatul loto polonia,"Sitelinks, AI Overview, Thumbnail",200,45,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-polonia-multi/,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-01 06:17:25
loto italia 6 90 rezultate bet cafe arena,,200,46,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/loto/loto-italia-6-90-superenalotto/,6,14,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-italia-690/,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-14 01:44:05
loto finlanda 7/40,Sitelinks,200,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-finlanda-7-40/,5,15,,,,,,,https://www.supercazino.ro/loto-finlanda/,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17 15:00:18
slovacia keno rezultate,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/articole-pariuri-sportive/slovacia-keno-loto-strategii-rezultate-scheme-combinatii-live-sfaturi-de-la-jucatori/,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-21 01:57:17
pariuri polonia,,200,43,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-polonia-multi/,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pariuri1x2.ro/pariuri/strategie-de-pariere-la-multi-loto-polonia-10-aprilie-avem-168-ron-profit-in-aceasta-luna-detalii-toate-biletele-jucate-astazi-de-noi/,10,4,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15 16:17:13
fotbalisti celebri,"AI Overview, Thumbnail, Image pack",200,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xbets.ro/blog/top-cei-mai-buni-fotbalisti-din-lume/,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17 21:44:32
reguli biliard,"AI Overview, Thumbnail",200,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/articole-pariuri-sportive/reguli-biliard-cum-arata-regulamentul-de-joc/,3,58,,,,,,,,,,,,,,,,,,,,,,,,,https://www.supercazino.ro/blog/reguli-biliard/,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-14 14:41:11
rotiri gratuite fara depunere casa pariurilor,Sitelinks,200,45,1.98,,,,,,,,,,https://pariurix.com/casino/recenzii/casa-pariurilor-casino,5,13,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/casa-pariurilor-bonus-fara-depunere/,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-20 12:18:59
jocuri casino sloturi,,200,75,,,,,,,,,,,https://pariurix.com/casino/sloturi/cele-mai-profitabile-sloturi-online.html,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-16 17:14:32
biletul zilei superbet,,200,53,0.25,,,,,,,,,,https://pariurix.com/ponturi/biletul-zilei,7,13,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/,9,7,,,,,,,https://biletu-zilei.com/biletul-zilei/,8,10,,,,,,,,,,,,,,,,,,,,,,,,,https://xbets.ro/biletul-zilei/,1,73,,,,,,,https://pariuri1x2.ro/,4,31,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-22 21:15:44
cine transmite cfr cluj azi,"AI Overview, Thumbnail",200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xbets.ro/stiri-sportive/cine-transmite-cfr-cluj-universitatea-craiova-la-tv-pe-8-mai-de-la-ora-21-00/,3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-27 21:19:51
shining crown joc gratis,,200,59,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://jucatorul.ro/jocuri/pacanele/recenzii/shining-crown/,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-24 09:25:49
winmasters contact,,200,1,1.10,,,,,,,,,,,,,,,,,,,https://beturi.ro/ghid-pariuri/contact-winmasters/,10,5,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/metode-contact-cazino/winmasters-contact/,8,7,,,,,,,,,,,,,,,,https://jucatorul.ro/cazino/recenzii/winmasters/contact/,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-16 11:00:49
loto euromillions 5 din 50,,200,0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/loto/euro-millions-5-50-loto/,5,13,,,,,,,https://biletu-zilei.com/loterii-internationale/euromillions-5-50/,9,6,,,,,,,https://www.supercazino.ro/euromillions/,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18 21:55:26
winbet rotiri gratuite fara depunere,,200,62,3.04,,,,,,,,,,,,,,,,,,,https://beturi.ro/oferte-cazino/rotiri-gratuite-winbet/,6,11,,,,,,,https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/winbet-bonus-fara-depunere/,7,9,,,,,,,,,,,,,,,,,,,,,,,,,https://www.supercazino.ro/blog/winbet-bonus-fara-depunere/,5,14,,,,,,,https://jucatorul.ro/cazino/recenzii/winbet-casino/bonus-fara-depunere/,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-21 10:50:08
netbet inregistrare,,200,66,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/tutoriale/netbet-inregistrare/,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-06 04:46:52
stanleybet aplicatie,,200,24,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/aplicatii-jocuri-de-noroc/stanleybet-aplicatie/,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26 05:34:14
polonia 6 din 49,,200,21,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-polonia-6-49/,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24 11:46:31
bonusuri la depunere,,200,53,3.11,,,,,,,,,,https://pariurix.com/casino/bonus-fara-depunere,1,80,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/bonusuri-cazino-fara-depunere/,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://jucatorul.ro/bonusuri/de-bun-venit/,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-24 13:47:22
loto washington daily,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/loto/loto-washington-20-80/,8,8,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-sua-washington-daily-keno/,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-22 18:36:17
superbet bonus de ziua ta,,200,53,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/bonusuri-cazino/bonus-aniversar/superbet-bonus-aniversar/,9,5,,,,,,,,,,,,,,,,https://biletu-zilei.com/bonus-aniversar/bonus-aniversar-superbet/,5,13,,,,,,,,,,,,,,,,https://jucatorul.ro/cazino/recenzii/superbet/bonus-de-ziua-ta/,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-25 16:52:53
bonusuri cazino fara depunere,,200,76,3.47,,,,,,,,,,https://pariurix.com/casino/bonus-fara-depunere,1,70,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/bonusuri-cazino-fara-depunere/,2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://jucatorul.ro/bonusuri/rotiri-gratuite/100-rotiri-gratuite/,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-11 13:10:53
publicwin casino,,200,42,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.supercazino.ro/publicwin/,2,29,,,,,,,https://jucatorul.ro/cazino/recenzii/publicwin-casino/contact/,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-27 14:56:37
tomapan reguli,"Image pack, AI Overview, Thumbnail, Video preview",200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://jucatorul.ro/blog/tomapan/,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-06 21:08:51
loto franța 20 din 70,,200,0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/loto/loto-franta-keno-20-70/,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 22:28:18
20 dazzling hot demo,Sitelinks,200,0,0.60,,,,,,,,,,https://pariurix.com/pacanele/20-dazzling-hot,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://jucatorul.ro/jocuri/pacanele/recenzii/20-dazzling-hot/,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-28 07:14:31
conectare casa pariurilor,Sitelinks,200,0,0.75,,,,,,,,,,,,,,,,,,,https://beturi.ro/ghid-pariuri/contact-casa-pariurilor/,4,19,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/tutoriale/creare-cont-casa-pariurilor/,2,41,,,,,,,,,,,,,,,,https://jucatorul.ro/cazino/recenzii/casa-pariurilor/contact/,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-10 06:17:04
verificare bilet superbet scanare,"Sitelinks, Video preview, AI Overview, Thumbnail",200,48,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/blog/superbet-verificare-bilet/,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-20 08:33:19
loto grecia 6/49,,200,57,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-grecia-6-49/,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12 03:29:33
excelbet azi,"AI Overview, Thumbnail",200,0,,,,,,,,,,,https://pariurix.com/agentii/recenzii/excelbet,2,27,,,,,,,https://beturi.ro/ghid-pariuri/pariuri-sportive-excelbet/,7,9,,,,,,,,,,,,,,,,https://10pariuri.ro/blog/agentii-excelbet/,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-16 17:33:44
loto p,Sitelinks,200,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-polonia-multi/,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-25 03:10:17
clasamentul wta,,200,3,0.29,,,,,,,,,,,,,,,,,,,https://beturi.ro/clasament-wta/,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-24 11:18:51
unibet rotiri gratuite fara depunere,Sitelinks,200,53,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/unibet-bonus-fara-depunere/,7,11,,,,,,,,,,,,,,,,,,,,,,,,,https://www.supercazino.ro/blog/promotii-unibet-fara-depunere/,8,8,,,,,,,https://jucatorul.ro/cazino/recenzii/unibet-casino/rotiri-gratuite/,4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-07 18:18:10
aparate jocuri,,200,76,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://jucatorul.ro/jocuri/pacanele/recenzii/,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-21 12:47:43
loto superenalotto 6/90,,200,40,,,,,,,,,,,https://pariurix.com/casino/loto/superenalotto-690.html,9,6,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/loto/loto-italia-6-90-superenalotto/,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15 00:24:33
maxbet pacanele,,200,44,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/pacanele/jocuri-maxbet-casino/,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-09 01:57:58
